ID,Airport,City,Country,Code
7429,Cape Palmas Airport,Greenville,Liberia,CPA
7430,Ambatomainty Airport,Ambatomainty,Madagascar,AMY
7431,Kyoto,Kyoto,Japan,UKY
7435,Bazaruto Island Airport,Bazaruto Island,Mozambique,BZB
7436,Benguera Island Airport,Benguera Island,Mozambique,BCW
7438,Indigo Bay Lodge Airport,Indigo Bay Lodge,Mozambique,IBL
7442,Ouro Sogui Airport,Matam,Senegal,MAX
7443,Bird Island Airport,Bird Island,Seychelles,BDI
7446,Wadi Halfa Airport,Wadi Halfa,Sudan,WHF
7447,Enfidha - Zine El Abidine Ben Ali International Airport,Enfidha,Tunisia,NBE
7450,Pakuba Airport,Pakuba,Uganda,PAF
7453,Hatay Airport,Hatay,Turkey,HTY
7456,Raivavae Airport,Raivavae,French Polynesia,RVV
7457,Foshan,Foshan,China,FUO
7458,Huizhou,Huizhou,China,HUZ
7459,Lleida-Alguaire Airport,Lleida,Spain,ILD
7460,Aeropuerto Capitan Fuentes Martinez,Porvenir,Chile,WPR
7462,Central Railway Station,Montreal,Canada,YMY
7463,Union Station,Toronto,Canada,YBZ
7464,Bildudalur Airport,Bildudalur,Iceland,BIU
7465,Gjogur Airport,Gjogur,Iceland,GJR
7466,Saudarkrokur,Saudarkrokur,Iceland,SAK
7468,Inishmaan Aerodrome,Inishmaan,Ireland,IIA
7469,Taldykorgan Airport,Taldykorgan,Kazakhstan,TDK
7470,Olgii Airport,Olgii,Mongolia,ULG
7471,Lille,Lille,France,XDB
7473,Vologda Airport,Vologda,Russia,VGD
7478,Burevestnik Airport,Iturup Island,Russia,BVV
7479,Okha Airport,Okha,Russia,OHH
7480,Leshukonskoye Airport,Arkhangelsk,Russia,LDG
7488,Huesca-Pirineos Airport,Huesca,Spain,HSK
7489,Ciudad Real Central Airport,Ciudad Real,Spain,CQM
7490,Al Najaf International Airport,Najaf,Iraq,NJF
7491,Hilversum Railway Station,Hilversum,Netherlands,QYI
7492,Colonsay Airport,Colonsay,UK,CSA
7493,Coll Airport,Coll,UK,COL
7498,Tresco Heliport,Tresco,UK,TSO
7499,Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII
7500,Zaranj Airport,Zaranj,Afghanistan,ZAJ
7501,Chaghcharan Airport,Chaghcharan,Afghanistan,CCN
7503,Fuyang Airport,Fuyang,China,FUG
7504,Longyan Airport,Longyan,China,LCX
7505,Baoshan Airport,Baoshan,China,BSD
7506,Xingyi Airport,Xingyi,China,ACX
7507,Macau Ferry Pier,Macau,Macau,XZM
7508,Liping Airport,Liping,China,HZH
7922,Rio Sidra,Rio Sidra,Panama,RSI
7516,Chernobayevka Airport,Kherson,Ukraine,KHE
